Idx	IdxFull	Ratio	Train	Val	Name
1	2978	0.1576	11664	1172	wall
2	312	0.1072	6046	612	building, edifice
3	2420	0.0878	8265	796	sky
4	976	0.0621	9336	917	floor, flooring
5	2855	0.0480	6678	641	tree
6	447	0.0450	6604	643	ceiling
7	2131	0.0398	4023	408	road, route
8	165	0.0231	1906	199	bed 
9	3055	0.0198	4688	460	windowpane, window 
10	1125	0.0183	2423	225	grass
11	350	0.0181	2874	294	cabinet
12	2377	0.0166	3068	310	sidewalk, pavement
13	1831	0.0160	5075	526	person, individual, someone, somebody, mortal, soul
14	838	0.0151	1804	190	earth, ground
15	774	0.0118	6666	796	door, double door
16	2684	0.0110	4269	411	table
17	1610	0.0109	1691	160	mountain, mount
18	1910	0.0104	3999	441	plant, flora, plant life
19	687	0.0104	2149	217	curtain, drape, drapery, mantle, pall
20	471	0.0103	3261	318	chair
21	401	0.0098	3164	306	car, auto, automobile, machine, motorcar                                                                                       
22 	2994	0.0074	709	75	water
23      1735	0.0067	3296	315	painting, picture
24      2473	0.0065	1191	106	sofa, couch, lounge
25      2329	0.0061	1516	162	shelf
26      1276	0.0060	667	69	house
27      2264	0.0053	651	57	sea
28      1564	0.0052	1847	224	mirror
29      2178	0.0046	1158	128	rug, carpet, carpeting
30      913	0.0044	480	44	field
31      57	0.0044	1172	98	armchair
32      2272	0.0044	1292	184	seat
33      907	0.0033	1386	138	fence, fencing
34      724	0.0031	698	61	desk
35      2138	0.0030	781	73	rock, stone
36      2985    0.0027	380	43	wardrobe, closet, press
37      1395	0.0026	3089	302	lamp
38      155	0.0024	404	37	bathtub, bathing tub, bath, tub
39      2053	0.0024	804	99	railing, rail
40      689	0.0023	1453	153	cushion
41      137	0.0023	411	37	base, pedestal, stand
42      266	0.0022	1440	162	box
43      581	0.0022	800	77	column, pillar
44      2380	0.0020	2650	298	signboard, sign
45      491	0.0019	549	46	chest of drawers, chest, bureau, dresser
46      627	0.0019	367	36	counter
47      2212	0.0018	311	30	sand
48      2388	0.0018	1181	122	sink
49      2423	0.0018	287	23	skyscraper
50      943	0.0018	468	38	fireplace, hearth, open fireplace
51      2096	0.0018	402	43	refrigerator, icebox
52      1121	0.0018	130	12	grandstand, covered stand
53      1788	0.0018	561	64	path
54      2530	0.0017	880	102	stairs, steps
55      2185	0.0017	86	12	runway
56      420	0.0017	172	11	case, display case, showcase, vitrine
57      1948	0.0017	198	18	pool table, billiard table, snooker table
58      1869	0.0017	930	109	pillow
59      2251	0.0015	139	18	screen door, screen
60      2531	0.0015	564	52	stairway, staircase
61      2128	0.0015	320	26	river
62      294	0.0015	261	29	bridge, span
63      239	0.0014	275	22	bookcase
64      212	0.0014	335	60	blind, screen
65      571	0.0014	792	75	coffee table, cocktail table
66      2793	0.0014	395	49	toilet, can, commode, crapper, pot, potty, stool, throne
67      978	0.0014	1309	138	flower
68      236	0.0013	1112	113	book
69      1240	0.0013	266	27	hill
70      181	0.0013	659	66	bench
71      629	0.0012	331	31	countertop
72      2598	0.0012	531	56	stove, kitchen stove, range, kitchen range, cooking stove
73      1744	0.0012	369	36	palm, palm tree
74      1374	0.0012	144	9	kitchen island
75      591	0.0011	265	29	computer, computing machine, computing device, data processor, electronic computer, information processing system
76      2679	0.0010	324	33	swivel chair
77      223	0.0009	304	27	boat
78      123	0.0009	170	20	bar
79      47	0.0009	68	6	arcade machine
80      1282	0.0009	65	8	hovel, hut, hutch, shack, shanty
81      327	0.0009	248	25	bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle
82      2821	0.0008	492	49	towel
83      1451	0.0008	2510	269	light, light source
84      2880	0.0008	440	39	truck, motortruck
85      2828	0.0008	147	18	tower
86      480	0.0008	583	56	chandelier, pendant, pendent
87      77	0.0007	533	61	awning, sunshade, sunblind
88      2616	0.0007	1989	239	streetlight, street lamp
89      247	0.0007	71	5	booth, cubicle, stall, kiosk
90      2733	0.0007	618	53	television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box
91      14	0.0007	135	12	airplane, aeroplane, plane
92      738	0.0007	83	5	dirt track
93      38	0.0007	178	17	apparel, wearing apparel, dress, clothes
94      1936	0.0006	1003	104	pole
95      1401	0.0006	182	12	land, ground, soil
96      120	0.0006	452	50	bannister, banister, balustrade, balusters, handrail
97      868	0.0006	42	6	escalator, moving staircase, moving stairway
98      1702	0.0006	307	31	ottoman, pouf, pouffe, puff, hassock
